Repo,App,Status,Notes,PR Link
"truvolv/cal-energy-consultant","cee-main","completed","already updated (not counted toward batch)",""
"truvolv/yrp","yrp-main","completed","already updated (not counted toward batch)",""
"truvolv/secure-cc","secure-construction-company","completed","already updated (not counted toward batch)",""
"truvolv/leap","leap-main","completed","already updated (not counted toward batch)",""
"truvolv/asp-windows","main-asp-w","completed","already updated (not counted toward batch)",""
"truvolv/vista-homes-utah","vista-homes-utah","completed","already updated (not counted toward batch)",""
"truvolv/hutchco-home-and-bath","hchb-main","completed","already updated (not counted toward batch)",""
"truvolv/main-bath-remodel-by-c","main-bath-remodel-by-c","completed","already updated (not counted toward batch)",""
"truvolv/roof-360","r-360","completed","already updated (not counted toward batch)",""
"truvolv/install-services","install-serv","completed","already updated (not counted toward batch)",""
"truvolv/black-rock-roofing","brr-main","completed","already updated (not counted toward batch)",""
"truvolv/direct-remodels","main-dr","completed","already updated (not counted toward batch)",""
"truvolv/hegg-windows-doors","h-w-d","completed","already updated (not counted toward batch)",""
"truvolv/ohio-state-windows","osw-main","completed","already updated (not counted toward batch)",""
"truvolv/nessler-and-associates","nessler-aa","completed","already updated (not counted toward batch)",""
"truvolv/home-value-renovation","main-site","completed","already updated (not counted toward batch)",""
"truvolv/cleanedge-cabinetry","main-cleanedge-cabinetry","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","ahd-jobs","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","ahd-main","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","ahd-micro-doors","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","ahd-micro-outdoor","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","ahd-micro-rainsoft","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","ahd-micro-tennessee-bathrooms","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","ahd-micro-windows","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","rs-knox","completed","already updated (not counted toward batch)",""
"truvolv/american-home-design","tnbaths-main","completed","already updated (not counted toward batch)",""
"truvolv/jbr-by-capital","main-jbr-capital","completed","already updated (not counted toward batch)",""
"truvolv/philadelphia-ge","pge-comfort","completed","already updated (not counted toward batch)",""
"truvolv/mod-bath","modbath-main","completed","already updated (not counted toward batch)",""
"truvolv/homefix","doors-lp","completed","already updated (not counted toward batch)",""
"truvolv/homefix","gutters-lp","completed","already updated (not counted toward batch)",""
"truvolv/homefix","homefix-main","completed","already updated (not counted toward batch)",""
"truvolv/homefix","roofing-lp","completed","already updated (not counted toward batch)",""
"truvolv/homefix","siding-lp","completed","already updated (not counted toward batch)",""
"truvolv/homefix","solar-shingles-lp","completed","already updated (not counted toward batch)",""
"truvolv/homefix","windows-lp","completed","already updated (not counted toward batch)",""
"truvolv/bee-windows","bee-windows-main","completed","already updated (not counted toward batch)",""
"truvolv/bee-windows","micro-bathrooms","completed","already updated (not counted toward batch)",""
"truvolv/bee-windows","micro-doors","completed","already updated (not counted toward batch)",""
"truvolv/bee-windows","micro-patio-enclosures","completed","already updated (not counted toward batch)",""
"truvolv/bee-windows","micro-siding","completed","already updated (not counted toward batch)",""
"truvolv/bee-windows","micro-windows","completed","already updated (not counted toward batch)",""
"truvolv/premier-home-services","phs-main","completed","already updated (not counted toward batch)",""
"truvolv/dwight-and-sons","main-dwight-and-sons","completed","already updated (not counted toward batch)",""
"truvolv/dwight-and-sons","micro-dwight-and-sons-roofing","completed","already updated (not counted toward batch)",""
"truvolv/dwight-and-sons","microroofing","completed","already updated (not counted toward batch)",""
"truvolv/five-star-homes","five-star-main","completed","already updated (not counted toward batch)",""
"truvolv/designed-hi","designed-home-improvement","completed","already updated (not counted toward batch)",""
"truvolv/struxure-northshore","always-g-t","completed","already updated (not counted toward batch)",""
"truvolv/struxure-northshore","struxure-ns","completed","already updated (not counted toward batch)",""
"truvolv/cyprus-air","ca-module-multistep-form","completed","already updated (not counted toward batch)",""
"truvolv/cyprus-air","cyprus-air-main","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","cabinet-authority","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","coatings-authority","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","design-by-studio-a-365","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","design-by-studio-a","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","home-authority","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","lp-authority-companies","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","lp-super-dougie-adventures","completed","already updated (not counted toward batch)",""
"truvolv/tailor-made-windows-inc","main-t-m-w-i","completed","already updated (not counted toward batch)",""
"truvolv/floorology","floorology","completed","already updated (not counted toward batch)",""
"truvolv/premier-services-nj","psnj-main","completed","already updated (not counted toward batch)",""
"truvolv/always-green-turf","always-g-t","completed","already updated (not counted toward batch)",""
"truvolv/express-bath","exp-bath","completed","already updated (not counted toward batch)",""
"truvolv/jbr-greenville","jbrg-micro-ashvillenc","completed","already updated (not counted toward batch)",""
"truvolv/jbr-greenville","jbrg-micro-columbiasc","completed","already updated (not counted toward batch)",""
"truvolv/jbr-greenville","jbrg-micro-greenvilesc","completed","already updated (not counted toward batch)",""
"truvolv/jbr-greenville","main-jbr-greenville","completed","already updated (not counted toward batch)",""
"truvolv/asp-superhome","main-asp-sh","completed","already updated (not counted toward batch)",""
"truvolv/brian-gottlieb","main-brian-gottlieb","completed","already updated (not counted toward batch)",""
"truvolv/mkd-kitchen-and-bath","mkd-main","completed","already updated (not counted toward batch)",""
"truvolv/paulson-monuments","paulson-monuments","completed","already updated (not counted toward batch)",""
"truvolv/mode-renovation","mode-main","completed","already updated (not counted toward batch)",""
"truvolv/ohp","ohp-main","completed","already updated (not counted toward batch)",""
"truvolv/scc-pros","scc-pros-main","completed","already updated (not counted toward batch)",""
"truvolv/scc-pros","swhi-main","completed","already updated (not counted toward batch)",""
"truvolv/safe-harbor-exteriors","she-main","completed","already updated (not counted toward batch)",""
"truvolv/stressless-remodeling","sr-main","completed","already updated (not counted toward batch)",""
"truvolv/rainsoft-great-lakes","main-great-lakes-wt","completed","already updated (not counted toward batch)",""
"truvolv/rainsoft-ne-iowa","rni-main","completed","already updated (not counted toward batch)",""
"truvolv/refloor","refloor-main","completed","already updated (not counted toward batch)",""
"truvolv/hydrotek-plumbing","main-hp","completed","already updated (not counted toward batch)",""
"truvolv/bath-fitter-inland-nw","bath-fitter-in-nw","completed","already updated (not counted toward batch)",""
"truvolv/kris-konstruction-","kk-main","completed","already updated (not counted toward batch)",""
"truvolv/bath-fitter-tucson","bft-main","completed","already updated (not counted toward batch)",""
"truvolv/aspen-glass","ag-main","completed","already updated (not counted toward batch)",""
"truvolv/jim-woods-roofing","jim-woods-roofing","completed","already updated (not counted toward batch)",""
"truvolv/truvolv-corporate","truvolv-main","completed","already updated (not counted toward batch)",""
"truvolv/uat","august-testing","completed","already updated (not counted toward batch)",""
"truvolv/uat","v2-testing-site","completed","already updated (not counted toward batch)",""
"truvolv/uat","visual-regression","completed","already updated (not counted toward batch)",""
