Repo,App,Status,Notes,PR Link
"truvolv/everlasting-windows-and-doors","micro-windows-doors","completed","already updated (not counted toward batch)",""
"truvolv/bath-fitter-inland-nw","bath-fitter-in-nw","completed","already updated (not counted toward batch)",""
"truvolv/bath-fitter-inland-nw","heavyset-br-micro","completed","already updated (not counted toward batch)",""
"truvolv/bath-fitter-inland-nw","micro-baths","completed","already updated (not counted toward batch)",""
"truvolv/savannah-cabinetry","main-savannah","completed","already updated (not counted toward batch)",""
"truvolv/okeefe-and-flanagan-electric","electrical-services-lp","completed","already updated (not counted toward batch)",""
"truvolv/okeefe-and-flanagan-electric","micro-generators","completed","already updated (not counted toward batch)",""
"truvolv/okeefe-and-flanagan-electric","micro-mini-splits","completed","already updated (not counted toward batch)",""
"truvolv/okeefe-and-flanagan-electric","ok-f-e","completed","already updated (not counted toward batch)",""
"truvolv/hutchco-home-and-bath","hchb-lp-gsc","completed","already updated (not counted toward batch)",""
"truvolv/hutchco-home-and-bath","hchb-main","completed","already updated (not counted toward batch)",""
"truvolv/kurtis-kitchen-and-bath","kkb-main","completed","already updated (not counted toward batch)",""
"truvolv/qa-truspd-966-contact-map-embed-o","qa-env-site","completed","already updated (not counted toward batch)",""
"truvolv/qa-truspd-932-job-nimbus-reverse-","qa-env-site","completed","already updated (not counted toward batch)",""
"truvolv/safe-harbor-exteriors","micro-siding","completed","already updated (not counted toward batch)",""
"truvolv/safe-harbor-exteriors","micro-wd","completed","already updated (not counted toward batch)",""
"truvolv/safe-harbor-exteriors","sh-ext-micro-siding","completed","already updated (not counted toward batch)",""
"truvolv/safe-harbor-exteriors","she-main","completed","already updated (not counted toward batch)",""
"truvolv/armor-guard","armorguard-exteriors-gutters-micro","completed","already updated (not counted toward batch)",""
"truvolv/armor-guard","armorguard-exteriors-screens-micro","completed","already updated (not counted toward batch)",""
"truvolv/armor-guard","armorguard-main","completed","already updated (not counted toward batch)",""
"truvolv/everest-home-improvement","ehi-main-site","completed","already updated (not counted toward batch)",""
"truvolv/haven-bath-ca","hb-main","completed","already updated (not counted toward batch)",""
"truvolv/haven-bath-ca","lp-haven-bath","completed","already updated (not counted toward batch)",""
"truvolv/nessler-and-associates","nessler-aa","completed","already updated (not counted toward batch)",""
"truvolv/empire-home-remodeling","main-ehr","completed","already updated (not counted toward batch)",""
"truvolv/empire-home-remodeling","windows-ehr","completed","already updated (not counted toward batch)",""
"truvolv/spokane-stone-creations","ssc-main","completed","already updated (not counted toward batch)",""
"truvolv/ezpro-kitchen-and-bath","ekb-main","completed","already updated (not counted toward batch)",""
"truvolv/usa-showers","usa-s","completed","already updated (not counted toward batch)",""
"truvolv/gutter-cover-kc","gckc-main","completed","already updated (not counted toward batch)",""
"truvolv/southwest-style","lp-sw-style","completed","already updated (not counted toward batch)",""
"truvolv/southwest-style","southwest-main","completed","already updated (not counted toward batch)",""
"truvolv/luxury-bath-tampa","luxury-tampa-main","completed","already updated (not counted toward batch)",""
"truvolv/nimmo-roofing-and-construction","nimmo-rc","completed","already updated (not counted toward batch)",""
"truvolv/bathing-solutions","bs-main","completed","already updated (not counted toward batch)",""
"truvolv/waterworks-of-delmarva","main-wwd","completed","already updated (not counted toward batch)",""
"truvolv/roof-masters","main-roof-masters","completed","already updated (not counted toward batch)",""
"truvolv/legendary-calrep","lcwd-main","completed","already updated (not counted toward batch)",""
"truvolv/paulson-monuments","paulson-monuments","completed","already updated (not counted toward batch)",""
"truvolv/cabinet-experts","cabinet-experts","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","cabinet-authority","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","coatings-authority","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","design-by-studio-a","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","design-by-studio-a-365","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","home-authority","completed","already updated (not counted toward batch)",""
"truvolv/the-home-authority","lp-authority-companies","completed","already updated (not counted toward batch)",""
